x   y
0.2 16.60
0.4 16.60   
0.6 16.60
0.8 16.60
1.0 16.50
1.2 16.50
1.4 16.50
1.6 16.50
1.8 16.50
2.0 16.50
2.2 16.40
2.4 16.40
2.6 16.40
2.8 16.40
3.0 16.40
3.2 16.40
3.4 16.40
3.6 16.30
3.8 16.30
4.0 16.30
4.2 16.30
4.4 16.30
4.6 16.30
4.8 16.30
5.0 16.20
5.2 16.20
5.4 16.20
5.6 16.20
5.8 16.20
6.0 16.10
6.2 16,00
6.4 16,00
6.6 16,90
6.8 15,90
7.0 15,80
7.2 15,70
7.4 15.66
7.6 15.55
7.8 15.40
8.0 15.20
8.2 15.10
8.4 14.70
8.6 14.30
8.8 13.80
9.0 13.00
9.2 12.20
9.4 11.20
9.6 9.30
9.8 7.10
10.0 5.80
10.2 4.00
10.4 2.40
10.6 1.50
10.8 1.20
11.0 1.10
11.2 1.00
11.4 0.90 
11.6 0.85
11.8 0.83
12.0 0.80
12.2 0.78
12.4 0.75
12.6 0.70
12.8 0.70
13.0 0.70
13.2 0.68
13.4 0.65
13.6 0.65
13.8 0.62
14.0 0.60
14.2 0.60
14.4 0.60
14.6 0.62
14.8 0.65
15.0 0.69
15.2 0.72
15.4 0.78
15.6 0.81
15.8 0.90
16.0 0.92
16.2 1.00
16.4 1.10
16.6 1.20
16.8 1.30
17.0 1.50
17.2 1.70
17.4 2.00
17.6 2.30
17.8 2.60
18.0 3.10
18.2 3.70
18.4 4.30
18.6 5.00
18.8 5.90
19.0 7.30
19.2 9.50
19.4 10.70
19.6 11.60
19.8 12.50
20.0 13.50
20.2 14.20
20.4 14.80
20.6 15.20
20.8 15.50
21.0 15.70
21.2 15.80
21.4 15.98  
21.6 16.07
21.8 16.12
22.0 16.20
22.2 16.22
22.4 16.28
22.6 16.31
22.8 16.35
23.0 16.39
23.2 16.40
23.4 16.40
23.6 16.41
23.8 16.43
24.0 16.45
24.2 16.45
24.4 16.46
24.6 16.48
24.8 16.50
25.0 16.50
25.2 16.50
25.4 16.50
25.6 16.50
25.8 16.50
26.0 16.50
26.2 16.50
26.4 16.50
26.6 16.50
26.8 16.50
27.0 16.50
27.2 16.50
27.4 16.50
27.6 16.50
